Training Time	Loss	Iteration	Mean Reward (/100ep)	Best Mean Reward	Episodes	Exploration	Learning Rate
41603.25308561325	4.82254838943	2070000	1878.0	1910.5	9838	0.040959999999999996	6.075e-05
41812.011347055435	4.82254838943	2080000	1844.0	1910.5	9874	0.04024	6.05e-05
42021.36420106888	4.82254838943	2090000	1801.8	1910.5	9911	0.03951999999999999	6.025e-05
42231.48657178879	2.77840042114	2100000	1715.5	1910.5	9947	0.038799999999999994	6e-05
42441.913281202316	2.77840042114	2110000	1695.6	1910.5	9983	0.03808	5.975e-05
42653.78798317909	2.77840042114	2120000	1749.4	1910.5	10019	0.037360000000000004	5.95e-05
42864.609548807144	2.77840042114	2130000	1754.8	1910.5	10055	0.036640000000000006	5.9250000000000004e-05
43065.090956926346	2.69750142097	2140000	1685.9	1910.5	10093	0.03592000000000001	5.9000000000000004e-05
43277.85002350807	2.69750142097	2150000	1756.3	1910.5	10129	0.035199999999999995	5.8750000000000005e-05
43484.30568361282	2.69750142097	2160000	1807.8	1910.5	10167	0.03448	5.8500000000000006e-05
43694.63660502434	2.69750142097	2170000	1860.8	1910.5	10202	0.03376	5.8250000000000006e-05
43902.1456618309	2.037784338	2180000	1885.9	1910.5	10238	0.03304	5.800000000000001e-05
44109.85219693184	2.037784338	2190000	1897.1	1920.4	10273	0.03232	5.775e-05
44316.83932805061	2.037784338	2200000	1881.3	1929.4	10308	0.0316	5.75e-05
44520.4521009922	2.037784338	2210000	1883.0	1929.4	10345	0.03087999999999999	5.725e-05
44729.369071006775	4.69288110733	2220000	1834.2	1929.4	10381	0.030159999999999992	5.7e-05
44940.1205034256	4.69288110733	2230000	1794.7	1929.4	10419	0.029439999999999994	5.6750000000000004e-05
45149.373797893524	4.69288110733	2240000	1888.8	1929.4	10456	0.028719999999999996	5.6500000000000005e-05
45358.7036280632	4.69288110733	2250000	1867.8	1929.4	10492	0.027999999999999997	5.6250000000000005e-05
45567.077402591705	3.14181947708	2260000	1859.4	1929.4	10528	0.02728	5.6e-05
45773.89655637741	3.14181947708	2270000	1908.1	1946.4	10563	0.02656	5.575e-05
45987.12596869469	3.14181947708	2280000	1899.3	1946.4	10599	0.025840000000000002	5.55e-05
46192.47961521149	3.14181947708	2290000	1903.8	1946.4	10635	0.025120000000000003	5.525e-05
46403.43423867226	2.3712785244	2300000	1929.2	1946.4	10674	0.024400000000000005	5.5e-05
46614.06827545166	2.3712785244	2310000	1854.7	1946.4	10712	0.023679999999999993	5.475e-05
46826.18290758133	2.3712785244	2320000	1815.6	1946.4	10750	0.022959999999999994	5.45e-05
47033.71060323715	2.3712785244	2330000	1759.8	1946.4	10786	0.022239999999999996	5.4250000000000004e-05
47244.529517412186	2.58369541168	2340000	1789.0	1946.4	10824	0.021519999999999997	5.4e-05
